,date,team,goals,xg,pass_success_rate,possession,tot_duels_win_rate,sobotr,cornwsr,fkwsr,pen_conversion_rate,acc_cross_rate,succ_for_passes_rate,succ_back_passes_rate,succ_lat_passes_rate,succ_long_passes_rate,succ_fin_third_passes_rate,succ_prog_passes_rate,succ_smart_passes_rate,succ_throw_ins_rate,mean_shot_dist,mean_pass_len,ppda,passes_per_minute,goal_conversion_rate,touches_in_box_per_minute,recoveries_per_minute,shots_on_target_rate
21,10/19/21, Michigan Wolverines,0,0.8,67.24,35.3,47.15,25.0,0.0,12.5,0,25.0,55.15,85.71,71.23,44.78,55.0,63.41,33.33,61.11,19.66,20.28,11.49,2.7401574803149606,0.0,0.16535433070866143,1.1811023622047243,0.3
22,10/16/21, Michigan Wolverines,1,0.95,68.92,51.82,45.89,0.0,16.67,42.86,0,36.36,52.8,92.86,83.75,34.43,33.33,59.7,0.0,79.31,14.11,20.02,7.89,3.350515463917526,0.125,0.15463917525773196,1.0824742268041236,0.125
23,10/10/21, Michigan Wolverines,1,1.64,65.96,38.7,49.3,16.67,50.0,40.0,100,33.33,57.04,93.33,67.06,46.77,50.0,60.56,0.0,88.0,17.68,20.53,9.9,2.473684210526316,0.06666666666666667,0.16666666666666666,1.0087719298245614,0.26666666666666666
24,10/6/21, Michigan Wolverines,2,1.51,69.73,39.91,48.32,50.0,75.0,40.0,0,28.57,58.28,77.5,80.19,51.32,58.33,65.22,0.0,70.59,16.17,21.46,8.12,2.8244274809160306,0.11764705882352941,0.13740458015267176,0.8778625954198473,0.5294117647058824
25,10/1/21, Michigan Wolverines,2,0.84,62.86,45.68,51.49,40.0,33.33,0.0,0,37.5,55.75,92.59,57.14,55.0,46.77,70.0,25.0,73.58,16.12,22.5,6.59,2.378640776699029,0.16666666666666666,0.2524271844660194,1.0,0.5
26,9/26/21, Michigan Wolverines,3,1.07,78.23,55.99,44.53,50.0,50.0,50.0,0,30.0,65.22,92.06,90.63,59.09,62.9,70.73,0.0,73.91,15.03,20.4,5.16,3.795918367346939,0.2727272727272727,0.1836734693877551,1.0510204081632653,0.5454545454545454
27,9/22/21, Michigan Wolverines,1,0.89,65.72,49.01,49.47,33.33,66.67,41.67,0,23.53,55.0,88.68,70.71,43.48,52.46,63.22,0.0,83.33,19.04,21.42,5.24,3.361904761904762,0.07692307692307693,0.1619047619047619,1.0380952380952382,0.3076923076923077
28,9/18/21, Michigan Wolverines,1,0.61,62.26,40.85,38.01,0.0,16.67,100.0,0,50.0,55.47,82.76,70.83,44.74,53.73,68.57,50.0,74.47,20.82,24.12,8.97,2.5238095238095237,0.1111111111111111,0.11428571428571428,1.0,0.2222222222222222
29,9/14/21, Michigan Wolverines,2,3.62,84.66,64.87,56.03,50.0,50.0,25.0,0,33.33,71.88,97.44,89.89,55.1,62.5,80.0,37.5,89.29,15.03,19.49,3.44,5.099009900990099,0.1111111111111111,0.3069306930693069,1.1584158415841583,0.4444444444444444
30,9/11/21, Michigan Wolverines,0,1.32,74.47,51.99,44.35,100.0,25.0,0.0,0,39.13,67.3,88.37,82.26,48.28,75.0,68.0,100.0,85.19,12.71,20.1,4.91,3.917525773195876,0.0,0.20618556701030927,1.2061855670103092,0.375
